Iter,MT,Time,Alt,Temp,Humid,Press,aX,aY,aZ,SysTemp
183,141.047,221,9,26.5988,25.1437,999.162,0.459096,0.183639,0.885958,15.9
184,141.794,222,8,26.6039,25.6543,999.184,0.43663,0.0322344,0.877167,13.6
185,142.544,223,30,26.1262,25.1821,998.359,0.430769,-0.155311,0.872283,-8.4
186,143.294,224,8,26.609,24.9899,999.145,0.452259,-0.0400488,0.939682,17.3
187,144.139,224,8,26.6139,25.7506,999.137,0.466911,-0.0166056,0.887912,15.9
188,144.888,225,9,26.6139,25.5348,999.153,0.480586,0.0302808,0.928937,16.4
189,145.64,226,7,26.6189,25.3416,999.153,0.316483,0.104518,0.831257,7.9
190,146.39,227,30,26.0758,25.1326,998.349,0.451282,-0.0517704,0.867399,-7.5
191,147.142,227,7,26.6189,24.8194,999.167,0.41221,0.142613,0.883028,16.8
192,147.89,228,8,26.6189,25.2904,999.147,0.431746,0.175824,0.719902,13.6
193,148.638,229,8,26.624,25.0521,999.141,0.478632,0.0166056,0.836141,13.6
194,149.481,230,34,26.0205,25.5654,998.194,0.432723,0.0556776,0.90061,-5.2
195,150.226,231,9,26.6291,24.8929,999.149,0.70818,0.141636,0.954334,16.4
196,150.974,231,6,26.634,25.5622,999.207,0.578266,0.0791208,0.837118,15.9
197,151.726,232,35,26.0105,24.9362,998.21,0.617338,0.014652,0.799023,2.3
198,152.471,233,8,26.6391,24.8698,999.215,0.477656,0.0840049,0.953358,13.1
199,153.222,234,7,26.6441,24.9151,999.192,0.672039,0.0361416,0.555799,12.6
200,154.064,234,6,26.6441,25.2328,999.203,0.648596,0.0605616,0.335043,8.9
201,154.812,235,7,26.106,25.6252,998.351,0.975824,0.0625152,0.04884,11.2
202,155.557,236,31,26.0959,25.2615,998.357,0.999267,-0.0107448,0.162149,2.3
203,156.303,237,8,26.6592,25.1306,999.154,0.989499,-0.0126984,0.150427,14
204,157.054,237,7,26.6592,25.505,999.197,0.935775,-0.0205128,0.181685,9.8
205,157.801,238,7,26.101,25.5623,998.305,0.945543,0.0136752,0.158242,7.9
206,158.547,239,33,26.6693,24.9428,999.183,0.979731,-0.00879121,0.113309,-8.4
207,159.392,240,7,26.6742,25.5614,999.122,0.941636,-0.029304,0.201221,9.3
208,160.137,240,8,26.6693,25.4133,999.166,0.979731,-0.0166056,0.180708,8.4
209,160.884,241,9,26.6793,24.9824,999.194,0.968986,-0.00683761,0.176801,9.8
210,161.634,242,32,26.1211,25.3969,998.286,0.955311,-0.0175824,0.186569,-5.6
211,162.388,243,8,26.6844,25.2489,999.16,0.965079,-0.0058608,0.153358,16.8
212,163.136,243,8,26.6844,25.4985,999.218,0.926984,-0.0214896,0.184615,15.4
213,163.886,244,9,26.6943,25.0215,999.218,0.979731,-0.0058608,0.129914,15.9
214,164.728,245,31,26.3373,25.0793,998.227,0.948473,-0.0126984,0.129914,-6.6
215,165.48,246,8,26.6943,25.1176,999.157,0.977777,0.0039072,0.159218,10.3
216,166.227,247,8,26.6994,25.4015,999.157,0.978754,-0.0156288,0.201221,9.8
217,166.974,247,10,26.6994,25.3332,999.181,0.967033,0.0039072,0.162149,16.4
218,167.729,248,32,26.1715,24.8511,998.564,0.958241,-0.019536,0.179731,1.4
219,168.479,249,7,26.7096,25.1854,999.112,0.954334,-0.0019536,0.227595,15.9
220,169.321,250,8,26.7096,24.7651,999.117,0.959218,-0.043956,0.132845,15.9
221,170.071,250,9,26.7096,25.4973,999.202,0.97387,0.00976801,0.226618,16.8
222,170.817,251,8,26.1814,25.2484,998.311,0.971917,-0.0107448,0.190476,15.4
223,171.568,252,31,26.7246,24.8162,998.279,0.930891,0.0185592,0.205128,-5.2
224,172.318,253,8,26.7297,25.1111,999.127,0.94945,0.0576312,0.0820512,11.7
225,173.073,253,9,26.7297,25.0822,999.088,0.960195,0.0253968,0.229548,7.5
226,173.818,254,31,26.1865,25.5648,998.356,1.00513,-0.058608,0.14945,1.9
227,174.654,255,32,26.2016,25.5649,998.315,0.962149,0.00683761,0.152381,-4.7
228,175.406,256,9,26.7396,25.2013,999.134,0.972894,-0.0009768,0.158242,16.8
229,176.157,256,7,26.7447,25.3085,999.134,0.977777,-0.0126984,0.141636,7.5
230,176.905,257,8,26.7547,25.1105,999.184,0.989499,-0.0371184,0.179731,10.3
231,177.654,258,31,26.2217,25.3488,998.342,0.968986,-0.0205128,0.130891,2.8
232,178.408,259,8,26.7447,25.354,999.142,0.991453,-0.019536,0.140659,15.9
233,179.251,30,8,26.7547,25.7287,999.158,0.979731,-0.0273504,0.17094,16.4
234,180,30,9,26.7748,24.9677,999.097,0.974847,0.0039072,0.180708,17.8
235,180.746,31,8,26.7699,25.1208,999.174,0.97387,-0.0107448,0.145543,16.8
236,181.495,32,25,26.2268,25.3253,998.306,1.00317,-0.0039072,0.184615,2.8
237,182.244,33,8,26.785,24.7796,999.141,0.965079,-0.0205128,0.204151,16.4
